_id,student_id,time,topic,course_content,prof_name,emoji_sentiment,response_good,response_bad,response_add_feedback,reponse_full,scale,emoji_sentiment_int,pred_topic,pred_sub_topic
{'$oid': '5c87437aaa4fc8201d3a2bc2'},UGMS6DUMT,Tue Mar 12 2019 05:26:29 GMT+0000 (Coordinated Universal Time),assignment,201,Jane Smith,pos,"The instructions for each assignment have been very clear, which has helped keep me on the right track as I worked through each one.","It would be great to get feedback on assignments sooner, so I could learn from my mistakes and apply that to future assignments before they’re due.",The links to assignments in ISVC are broken.,"The instructions for each assignment have been very clear, which has helped keep me on the right track as I worked through each one.It would be great to get feedback on assignments sooner, so I could learn from my mistakes and apply that to future assignments before they’re due.The links to assignments in ISVC are broken.",5,4,,
{'$oid': '5c874ee5fb2cfe24a30f806e'},anon,Tue Mar 12 2019 05:52:53 GMT+0000 (Coordinated Universal Time),technology,201,Jane Doe,pos,"I personally am a huge fan of Zoom, and I am so glad Zoom has officially replaced Adobe Connect in ISVC. Adobe Connect audio and video quality was my major concern and I am excited that I can have a great online classroom experience with the transition to Zoom.","It's not 100% clear to me when the assignments are due and where to submit them. I understand Jane's motivation to want to use GitHub but the information on GitHub is not in sync with the information on ISVC. If Jane can make sure everything is aligned and in agreement, that would be a huge help!",Office hour Zoom recordings are incredibly helpful. I particularly like that I can benefit from a different instructors' office hours as well. Please continue to record office hours!,"I personally am a huge fan of Zoom, and I am so glad Zoom has officially replaced Adobe Connect in ISVC. Adobe Connect audio and video quality was my major concern and I am excited that I can have a great online classroom experience with the transition to Zoom. It's not 100% clear to me when the assignments are due and where to submit them. I understand Jane's motivation to want to use GitHub but the information on GitHub is not in sync with the information on ISVC. If Jane can make sure everything is aligned and in agreement, that would be a huge help! Office hour Zoom recordings are incredibly helpful. I particularly like that I can benefit from a different instructors' office hours as well. Please continue to record office hours!",6,4,,0
{'$oid': '5c875022fb2cfe24a30f806f'},anon,Tue Mar 12 2019 05:52:53 GMT+0000 (Coordinated Universal Time),technology,203,Jane Doe,pos,"I personally am a huge fan of Zoom, and I am so glad Zoom has officially replaced Adobe connect in ISVC. Adobe connect audio and video quality was my major concern and I am excited that I can have a great online classroom experience with the transition to Zoom.","It’s not 100% clear to me when the assignments are due and where to submit them. I understand Jane’s motivation to want to use GitHub but the information on GitHub is not in sync with the information on ISVC. If jane can make sure everything is aligned and in agreement, that would be a huge help!",Office hour Zoom recordings are incredibly helpful! I particularly like that I can benefit from a different instructors’ office hours as well. Please continue to record office hours.,"I personally am a huge fan of Zoom, and I am so glad Zoom has officially replaced Adobe connect in ISVC. Adobe connect audio and video quality was my major concern and I am excited that I can have a great online classroom experience with the transition to Zoom. It’s not 100% clear to me when the assignments are due and where to submit them. I understand Jane’s motivation to want to use GitHub but the information on GitHub is not in sync with the information on ISVC. If jane can make sure everything is aligned and in agreement, that would be a huge help! Office hour Zoom recordings are incredibly helpful! I particularly like that I can benefit from a different instructors’ office hours as well. Please continue to record office hours.",6,4,,0
{'$oid': '5c891c6043fc030069c287f6'},UGMS6DUMT,Wed Mar 13 2019 15:03:56 GMT+0000 (Coordinated Universal Time),technology,201,Jane Smith,pos,"I personally am a huge fan of Zoom, and I am so glad Zoom has officially replaced Adobe Connect in ISVC. Adobe Connect audio and video quality was my major concern and I am excited that I can have a great online classroom experience with the transition to Zoom.","It’s not 100% clear to me when the assignments are due and where to submit them. I understand Jane’s motivation to want to use GitHub but the information on GitHub is not in sync with the information on ISVC. If Jane can make sure everything is aligned and in agreement, that would be a huge help!",Office hour Zoom recordings are incredibly helpful. I particularly like that I can benefit from different instructors’ office hours as well. Please continue to record office hours,"I personally am a huge fan of Zoom, and I am so glad Zoom has officially replaced Adobe Connect in ISVC. Adobe Connect audio and video quality was my major concern and I am excited that I can have a great online classroom experience with the transition to Zoom. It’s not 100% clear to me when the assignments are due and where to submit them. I understand Jane’s motivation to want to use GitHub but the information on GitHub is not in sync with the information on ISVC. If Jane can make sure everything is aligned and in agreement, that would be a huge help! Office hour Zoom recordings are incredibly helpful. I particularly like that I can benefit from different instructors’ office hours as well. Please continue to record office hours",6,4,,0
{'$oid': '5c89bc16d3014c00e8bb6e7c'},UGPP6T9DY,Wed Mar 13 2019 15:27:26 GMT+0000 (Coordinated Universal Time),live session,210,Joyce Shen,neu,Groups keep going over their alotted time to present and the instructors don't interceed.,I'd ask them to be more strict and maybe tell the students when they have 5 and 1 minute left,I'd ask them to cut the groups off when they exceed their time,Groups keep going over their alotted time to present and the instructors don't interceed. I'd ask them to be more strict and maybe tell the students when they have 5 and 1 minute left I'd ask them to cut the groups off when they exceed their time,5,3,,1
