topic_id,topic_description
0,Extra credit
1,Exams and quizzes
2,Textbooks and online materials
3,Able to answer student questions
4,Highly recommending this class
5,Class going well
6,Always willing to explain concepts
7,Confusing lectures
8,Confused by grading
9,Lectures are confusing and difficult
10,Lectures are boring
11,Office hours
12,Professors know their stuff
13,Course subject matter
